0,labels,mask
116,7,58
41,4,30
132,5,34
11,4,237
11,4,106
77,6,54
155,3,59
86,3,49
59,4,36
199,3,118
116,7,118
238,4,253
58,4,222
244,2,75
162,5,16
85,3,235
169,5,81
133,5,223
212,4,135
225,2,193
183,3,131
49,7,160
47,3,167
115,3,8
93,5,236
12,6,246
125,1,196
180,2,66
58,4,149
116,7,158
60,5,1
196,4,125
169,5,151
85,3,166
212,4,200
29,5,128
41,4,245
216,3,202
154,5,20
141,4,48
136,6,161
62,4,50
36,4,53
167,6,218
248,7,247
27,7,30
117,4,79
248,7,135
224,3,230
189,4,224
9,4,118
249,2,76
94,5,103
123,2,158
213,3,110
232,3,191
171,4,38
159,3,192
185,4,25
99,3,65
240,3,217
72,6,199
19,5,133
174,4,251
17,6,239
14,4,164
112,3,93
25,5,87
130,3,70
39,1,33
157,6,16
205,5,72
155,3,124
23,4,39
158,5,85
25,5,180
183,3,79
148,5,218
246,5,133
112,3,21
194,2,182
110,5,104
64,5,216
192,3,61
78,5,14
252,5,7
133,5,196
194,2,169
158,5,167
151,5,37
131,2,206
230,3,102
20,6,89
8,2,227
78,5,145
80,2,4
70,4,48
137,3,22
60,5,58
172,5,172
30,1,221
94,5,198
98,5,33
183,3,32
8,2,126
90,5,122
99,3,12
202,3,57
133,5,76
26,6,218
175,4,56
51,4,104
106,8,79
170,5,193
63,3,149
109,5,154
89,5,40
70,4,198
236,4,26
43,6,2
19,5,202
97,3,6
243,4,201
253,4,198
148,5,68
55,6,141
245,3,85
158,5,230
102,4,104
181,4,167
43,6,10
161,4,82
255,5,31
200,5,161
94,5,29
199,3,75
70,4,24
89,5,233
217,4,162
158,5,134
125,1,75
154,5,142
198,5,54
30,1,151
2,4,191
216,3,93
254,4,200
115,3,94
143,3,10
212,4,186
75,3,120
145,2,111
158,5,151
60,5,182
50,6,86
47,3,104
213,3,43
140,2,155
152,5,151
174,4,78
9,4,0
47,3,0
10,3,144
228,3,219
249,2,15
53,4,89
227,7,118
224,3,36
249,2,21
39,1,29
238,4,10
212,4,53
160,4,69
115,3,81
91,3,45
223,4,80
108,2,202
41,4,220
192,3,116
246,5,49
119,3,32
152,5,205
29,5,20
202,3,172
174,4,4
136,6,173
242,5,162
76,4,186
184,5,32
165,5,89
138,5,36
64,5,94
83,4,74
17,6,15
152,5,15
62,4,23
164,5,214
52,3,152
60,5,157
226,5,46
141,4,212
219,4,83
25,5,87
160,4,114
213,3,122
80,2,81
163,4,179
54,7,20
24,5,226
196,4,247
28,4,190
38,5,49
136,6,231
171,4,215
119,3,143
26,6,117
160,4,100
100,5,3
27,7,110
148,5,191
120,3,205
16,4,189
190,5,24
160,4,132
255,5,194
11,4,160
240,3,119
26,6,69
238,4,134
95,3,115
128,2,42
84,3,27
62,4,148
4,6,133
17,6,137
170,5,217
238,4,206
214,4,243
186,4,108
37,3,153
24,5,116
121,6,169
127,3,11
245,3,83
84,3,67
23,4,244
188,3,20
200,5,9
137,3,140
99,3,106
18,5,200
250,4,66
254,4,199
22,5,42
1,4,56
25,5,253
170,5,108
101,1,225
67,1,99
115,3,39
254,4,26
208,4,159
67,1,44
239,2,184
113,4,83
1,4,6
18,5,71
76,4,8
233,6,106
183,3,91
248,7,213
157,6,221
239,2,40
220,5,109
190,5,25
235,3,55
213,3,160
225,2,104
153,3,41
115,3,223
129,2,212
83,4,21
78,5,76
66,6,43
226,5,180
183,3,132
219,4,104
62,4,34
168,1,182
98,5,47
3,6,188
71,4,192
160,4,42
242,5,239
88,2,208
118,7,35
126,6,143
247,4,228
159,3,92
212,4,41
126,6,154
218,6,98
158,5,52
81,4,136
12,6,123
147,6,3
63,3,162
221,4,41
251,5,185
91,3,196
149,3,24
149,3,45
10,3,92
5,4,26
192,3,171
53,4,30
194,2,6
31,2,140
146,5,44
106,8,110
37,3,124
24,5,154
35,2,70
15,5,43
37,3,101
64,5,177
190,5,142
69,0,123
141,4,163
74,3,76
60,5,187
60,5,0
114,4,191
175,4,107
223,4,99
179,3,9
71,4,45
74,3,11
14,4,244
156,5,60
105,6,65
100,5,165
23,4,174
103,3,34
152,5,119
178,2,168
69,0,114
97,3,133
14,4,102
130,3,19
113,4,182
213,3,176
124,7,148
250,4,227
202,3,115
241,4,163
233,6,245
85,3,111
118,7,234
21,6,94
36,4,235
171,4,180
125,1,13
179,3,108
90,5,21
232,3,1
0,4,114
103,3,209
134,2,162
68,6,155
51,4,224
239,2,29
225,2,125
84,3,249
116,7,170
181,4,132
59,4,137
183,3,52
203,3,164
67,1,241
248,7,33
38,5,239
25,5,25
187,3,116
177,2,119
185,4,45
122,4,0
44,4,86
9,4,9
52,3,26
39,1,189
37,3,140
85,3,190
221,4,193
24,5,64
110,5,213
94,5,9
67,1,2
204,5,27
92,5,133
124,7,192
