0,labels,mask
136,6,249
219,4,84
202,3,217
181,4,71
117,4,239
155,3,198
178,2,118
133,5,237
138,5,58
177,2,168
166,3,26
25,5,194
47,3,123
52,3,190
230,3,136
106,8,155
91,3,46
193,6,89
68,6,178
162,5,174
7,4,53
170,5,48
163,4,242
187,3,92
140,2,243
3,6,54
81,4,128
88,2,13
254,4,184
13,3,158
180,2,191
89,5,127
142,6,105
176,4,150
59,4,158
79,4,19
250,4,150
21,6,50
21,6,65
137,3,178
73,3,182
47,3,55
202,3,68
155,3,15
216,3,144
248,7,251
76,4,253
169,5,124
255,5,10
167,6,177
86,3,149
208,4,95
192,3,248
97,3,123
173,5,108
123,2,99
130,3,96
4,6,133
102,4,69
131,2,251
22,5,104
191,3,66
82,5,112
39,1,233
18,5,61
183,3,238
194,2,12
205,5,27
181,4,93
52,3,52
157,6,20
176,4,71
157,6,175
157,6,0
137,3,15
244,2,20
37,3,51
182,3,101
37,3,132
190,5,201
126,6,114
24,5,226
76,4,163
227,7,254
124,7,82
41,4,252
19,5,128
1,4,77
153,3,83
115,3,108
58,4,180
111,5,251
208,4,1
206,4,33
172,5,213
42,4,241
174,4,18
214,4,127
80,2,110
57,3,125
246,5,219
184,5,139
87,2,190
232,3,29
224,3,195
219,4,120
30,1,105
127,3,137
20,6,102
147,6,243
7,4,219
2,4,187
183,3,63
184,5,220
120,3,65
44,4,42
37,3,148
7,4,0
218,6,31
187,3,173
21,6,105
183,3,61
101,1,229
6,2,209
166,3,142
249,2,1
11,4,154
88,2,98
226,5,43
149,3,1
80,2,92
116,7,139
241,4,48
224,3,196
191,3,3
41,4,141
195,2,88
207,3,57
72,6,85
134,2,156
72,6,147
156,5,132
159,3,29
88,2,252
109,5,31
68,6,157
1,4,216
111,5,28
127,3,221
206,4,50
249,2,161
125,1,12
151,5,3
123,2,175
115,3,146
208,4,97
131,2,235
175,4,85
111,5,191
105,6,175
88,2,222
253,4,110
33,2,174
209,4,244
249,2,29
195,2,244
63,3,4
115,3,150
105,6,68
37,3,84
10,3,23
238,4,216
65,4,104
12,6,61
84,3,42
210,4,155
70,4,99
192,3,152
140,2,233
56,3,171
179,3,205
121,6,70
7,4,140
4,6,20
112,3,144
89,5,64
3,6,230
217,4,238
44,4,64
118,7,157
190,5,175
99,3,31
36,4,202
106,8,36
51,4,65
219,4,166
62,4,95
175,4,98
217,4,110
182,3,236
51,4,38
39,1,239
255,5,117
197,5,20
20,6,85
158,5,47
118,7,66
16,4,29
140,2,180
80,2,116
202,3,229
212,4,68
19,5,164
95,3,54
228,3,234
138,5,181
252,5,218
208,4,216
45,1,158
98,5,90
113,4,246
20,6,168
36,4,149
34,4,167
200,5,67
8,2,30
218,6,196
51,4,247
185,4,184
67,1,116
37,3,52
205,5,19
72,6,197
166,3,12
38,5,165
210,4,172
231,3,164
41,4,133
47,3,14
113,4,116
234,3,89
219,4,116
167,6,202
89,5,240
115,3,255
122,4,253
159,3,195
24,5,105
121,6,26
106,8,31
203,3,252
1,4,84
80,2,135
35,2,222
54,7,203
155,3,115
174,4,122
43,6,17
1,4,99
130,3,252
70,4,210
234,3,172
223,4,203
7,4,45
248,7,148
204,5,227
44,4,242
248,7,219
205,5,25
212,4,148
84,3,115
93,5,154
89,5,72
143,3,142
167,6,162
208,4,245
213,3,168
134,2,86
150,2,8
49,7,70
211,3,175
198,5,4
247,4,104
56,3,239
23,4,100
68,6,204
48,4,251
116,7,74
150,2,246
49,7,158
230,3,226
54,7,156
239,2,153
8,2,20
25,5,190
199,3,123
144,4,133
82,5,68
241,4,255
7,4,12
171,4,65
240,3,245
39,1,32
153,3,127
152,5,114
30,1,3
23,4,124
180,2,8
69,0,120
181,4,105
41,4,39
152,5,155
158,5,242
164,5,198
231,3,43
51,4,180
15,5,98
83,4,45
17,6,29
82,5,22
70,4,197
83,4,143
122,4,106
155,3,44
72,6,106
247,4,47
139,6,207
30,1,40
12,6,103
31,2,234
70,4,132
117,4,72
217,4,89
11,4,70
204,5,241
87,2,198
69,0,24
89,5,241
47,3,100
246,5,228
20,6,222
41,4,100
28,4,151
213,3,19
179,3,34
241,4,63
109,5,60
93,5,161
253,4,201
72,6,193
117,4,14
253,4,210
206,4,87
174,4,143
242,5,41
215,5,74
52,3,8
220,5,103
216,3,33
148,5,77
211,3,238
128,2,78
117,4,196
18,5,69
54,7,224
157,6,233
65,4,20
148,5,62
170,5,19
33,2,227
7,4,230
163,4,0
161,4,87
29,5,0
210,4,110
239,2,73
114,4,188
28,4,62
251,5,159
47,3,243
119,3,53
12,6,122
62,4,175
250,4,87
149,3,68
140,2,112
5,4,35
70,4,185
205,5,225
107,1,217
181,4,233
45,1,131
111,5,183
26,6,228
3,6,3
133,5,181
107,1,38
75,3,181
118,7,75
153,3,161
116,7,204
157,6,237
85,3,44
130,3,60
61,5,35
93,5,86
228,3,209
9,4,187
80,2,211
206,4,19
49,7,240
66,6,125
152,5,173
228,3,60
64,5,235
133,5,185
47,3,87
221,4,63
134,2,153
103,3,144
231,3,88
153,3,61
174,4,166
212,4,85
32,4,176
15,5,189
93,5,202
159,3,67
137,3,185
24,5,172
228,3,94
8,2,99
146,5,195
