0,labels,mask
131,2,189
217,4,4
23,4,26
180,2,236
87,2,209
84,3,223
116,7,239
244,2,150
216,3,45
84,3,25
96,6,120
0,4,157
190,5,186
139,6,205
137,3,192
66,6,230
116,7,197
86,3,185
84,3,175
156,5,197
188,3,105
143,3,227
166,3,32
186,4,210
71,4,92
194,2,13
66,6,130
238,4,51
230,3,55
42,4,20
154,5,115
58,4,254
36,4,100
233,6,80
96,6,48
9,4,47
142,6,186
254,4,117
224,3,198
128,2,26
125,1,44
4,6,19
93,5,218
154,5,146
157,6,220
180,2,209
56,3,138
52,3,51
238,4,143
105,6,172
53,4,70
207,3,72
159,3,92
151,5,191
208,4,180
122,4,225
178,2,176
48,4,38
165,5,23
198,5,32
233,6,98
218,6,124
188,3,147
197,5,115
163,4,107
216,3,98
174,4,170
75,3,251
141,4,67
239,2,222
143,3,234
144,4,72
102,4,142
76,4,169
113,4,31
235,3,111
112,3,106
3,6,8
109,5,161
103,3,169
125,1,231
194,2,104
165,5,62
45,1,212
49,7,240
248,7,12
201,4,122
85,3,118
93,5,137
74,3,129
210,4,196
159,3,116
4,6,163
74,3,84
97,3,118
89,5,20
93,5,103
237,4,208
171,4,157
253,4,24
47,3,216
137,3,67
166,3,136
216,3,15
99,3,85
241,4,237
167,6,40
227,7,97
70,4,181
58,4,227
40,5,235
230,3,55
201,4,56
79,4,153
238,4,187
130,3,151
9,4,50
205,5,63
84,3,173
222,6,155
164,5,120
47,3,67
212,4,67
239,2,182
179,3,223
43,6,172
55,6,225
237,4,37
201,4,212
15,5,173
67,1,204
212,4,204
97,3,132
180,2,58
238,4,143
79,4,37
238,4,46
142,6,109
130,3,164
167,6,174
221,4,253
107,1,100
211,3,207
144,4,92
221,4,43
151,5,150
149,3,140
5,4,103
253,4,221
141,4,99
139,6,8
112,3,154
52,3,128
135,2,114
160,4,170
57,3,210
72,6,152
108,2,215
15,5,30
166,3,242
58,4,250
133,5,30
22,5,185
203,3,61
114,4,175
242,5,206
59,4,56
100,5,156
105,6,38
243,4,24
195,2,135
20,6,26
191,3,226
27,7,91
103,3,130
59,4,8
86,3,98
138,5,105
138,5,119
59,4,219
158,5,16
139,6,83
26,6,232
211,3,94
132,5,219
207,3,121
78,5,104
252,5,166
171,4,5
223,4,71
47,3,111
18,5,238
3,6,36
63,3,97
107,1,248
177,2,153
180,2,89
5,4,188
250,4,92
119,3,127
124,7,96
80,2,93
2,4,173
206,4,180
243,4,253
2,4,47
50,6,115
159,3,92
27,7,42
62,4,81
122,4,47
218,6,61
4,6,2
242,5,50
86,3,226
215,5,247
53,4,112
220,5,104
114,4,233
68,6,42
233,6,72
99,3,171
201,4,0
128,2,13
156,5,183
219,4,127
242,5,146
158,5,250
176,4,109
194,2,69
243,4,34
222,6,17
144,4,137
104,4,41
220,5,208
162,5,121
185,4,88
240,3,141
220,5,238
56,3,160
221,4,55
92,5,97
69,0,216
29,5,44
131,2,146
163,4,206
57,3,36
148,5,54
152,5,131
146,5,250
224,3,120
121,6,181
13,3,90
7,4,56
96,6,201
158,5,109
238,4,72
27,7,138
24,5,119
120,3,160
221,4,30
221,4,11
192,3,140
167,6,56
123,2,68
189,4,155
102,4,184
191,3,91
132,5,75
181,4,27
231,3,181
0,4,128
17,6,44
246,5,66
178,2,74
41,4,218
102,4,21
153,3,131
231,3,43
102,4,221
221,4,100
202,3,217
79,4,153
28,4,98
208,4,128
70,4,181
34,4,211
218,6,103
202,3,223
145,2,114
126,6,216
17,6,153
45,1,115
240,3,121
239,2,64
140,2,25
88,2,92
26,6,59
203,3,32
148,5,61
250,4,5
64,5,65
248,7,117
130,3,149
26,6,210
91,3,255
1,4,14
9,4,183
18,5,8
234,3,163
191,3,64
20,6,156
64,5,180
177,2,95
45,1,184
118,7,251
236,4,77
64,5,145
66,6,37
229,3,83
25,5,167
153,3,189
84,3,244
248,7,183
191,3,204
227,7,206
155,3,180
121,6,75
195,2,116
104,4,178
213,3,133
247,4,55
110,5,53
3,6,112
116,7,215
155,3,203
0,4,62
155,3,26
202,3,208
34,4,124
3,6,208
181,4,76
228,3,171
231,3,8
96,6,102
203,3,97
45,1,105
189,4,247
85,3,44
226,5,187
91,3,169
56,3,7
207,3,219
109,5,93
73,3,208
92,5,109
68,6,38
18,5,87
157,6,98
102,4,157
80,2,20
199,3,68
255,5,221
3,6,142
66,6,142
35,2,202
5,4,66
213,3,75
34,4,0
62,4,79
193,6,188
112,3,213
184,5,89
208,4,58
16,4,206
197,5,30
200,5,243
16,4,205
4,6,34
164,5,49
54,7,232
158,5,244
239,2,9
126,6,172
113,4,83
175,4,197
88,2,86
19,5,65
29,5,109
14,4,88
24,5,244
128,2,247
169,5,214
68,6,213
77,6,248
49,7,24
93,5,41
232,3,162
194,2,183
222,6,178
242,5,12
166,3,120
108,2,74
136,6,204
251,5,89
51,4,40
61,5,191
244,2,223
191,3,51
80,2,65
92,5,250
128,2,155
123,2,132
244,2,215
175,4,117
192,3,137
128,2,98
150,2,128
123,2,7
34,4,202
7,4,57
169,5,211
14,4,119
3,6,129
67,1,24
4,6,21
63,3,226
28,4,180
38,5,205
165,5,186
186,4,111
116,7,221
244,2,62
99,3,32
9,4,38
18,5,163
130,3,86
11,4,67
82,5,131
53,4,140
69,0,52
85,3,16
138,5,29
16,4,175
171,4,217
38,5,50
92,5,230
75,3,206
56,3,88
248,7,174
203,3,103
206,4,174
223,4,211
252,5,245
212,4,138
93,5,105
144,4,84
129,2,43
207,3,93
176,4,18
237,4,182
112,3,2
137,3,3
180,2,161
132,5,74
185,4,60
6,2,217
30,1,119
158,5,183
40,5,226
16,4,221
192,3,80
203,3,157
151,5,4
225,2,237
217,4,91
63,3,208
144,4,115
202,3,224
21,6,192
49,7,153
88,2,210
17,6,232
207,3,201
67,1,142
76,4,237
9,4,74
66,6,50
234,3,54
194,2,43
127,3,72
115,3,223
61,5,25
107,1,243
52,3,127
93,5,217
155,3,202
200,5,82
93,5,233
168,1,123
173,5,100
3,6,237
222,6,85
159,3,246
186,4,138
109,5,172
255,5,148
6,2,75
199,3,217
68,6,247
240,3,91
45,1,165
76,4,105
52,3,110
102,4,226
246,5,229
245,3,88
29,5,178
146,5,94
220,5,125
212,4,153
195,2,231
164,5,163
235,3,230
43,6,75
126,6,124
17,6,22
204,5,43
138,5,94
37,3,167
31,2,62
202,3,18
67,1,124
146,5,191
249,2,194
168,1,226
93,5,16
237,4,168
115,3,169
73,3,246
77,6,196
24,5,24
200,5,33
224,3,253
36,4,137
61,5,171
13,3,20
30,1,185
215,5,103
77,6,27
58,4,213
108,2,74
102,4,111
88,2,6
236,4,178
115,3,158
99,3,245
86,3,170
158,5,107
109,5,107
141,4,155
158,5,42
215,5,83
25,5,103
101,1,96
85,3,78
244,2,148
7,4,169
139,6,42
121,6,142
50,6,246
231,3,101
2,4,113
30,1,121
141,4,106
125,1,183
225,2,66
154,5,21
143,3,128
156,5,250
15,5,29
115,3,170
38,5,197
87,2,89
33,2,240
56,3,220
111,5,80
126,6,177
74,3,64
216,3,85
243,4,150
109,5,168
195,2,163
151,5,49
242,5,223
4,6,95
38,5,16
12,6,132
126,6,192
40,5,182
42,4,246
50,6,13
155,3,218
94,5,98
213,3,185
162,5,108
209,4,159
145,2,118
168,1,97
164,5,213
92,5,47
238,4,75
42,4,129
224,3,193
114,4,44
180,2,113
176,4,235
26,6,225
44,4,200
211,3,9
76,4,110
246,5,198
163,4,154
246,5,194
11,4,190
104,4,29
94,5,87
99,3,131
38,5,100
75,3,76
82,5,232
103,3,206
170,5,75
29,5,165
179,3,72
196,4,153
153,3,186
246,5,190
213,3,225
51,4,163
150,2,25
138,5,220
153,3,26
191,3,37
52,3,175
53,4,129
217,4,65
235,3,16
250,4,126
212,4,48
252,5,152
208,4,255
198,5,143
204,5,97
52,3,99
224,3,214
189,4,73
205,5,93
200,5,211
120,3,3
12,6,159
201,4,99
4,6,90
95,3,252
31,2,238
178,2,152
145,2,133
242,5,26
237,4,218
238,4,22
179,3,103
229,3,231
152,5,3
75,3,182
33,2,141
121,6,224
24,5,232
232,3,73
149,3,110
255,5,207
226,5,142
9,4,193
16,4,18
174,4,17
108,2,76
113,4,159
169,5,55
61,5,173
91,3,86
206,4,243
109,5,139
166,3,129
37,3,148
35,2,193
69,0,187
169,5,83
184,5,219
219,4,139
96,6,174
205,5,76
59,4,125
26,6,221
2,4,79
169,5,10
132,5,55
161,4,67
176,4,238
107,1,97
111,5,65
255,5,128
41,4,233
91,3,230
111,5,226
220,5,19
25,5,108
50,6,81
147,6,37
108,2,187
190,5,104
200,5,207
55,6,65
85,3,59
204,5,65
213,3,148
158,5,94
50,6,232
232,3,61
37,3,171
223,4,124
206,4,233
216,3,131
116,7,72
248,7,120
215,5,199
160,4,130
62,4,225
130,3,144
89,5,133
90,5,123
49,7,67
126,6,208
16,4,147
191,3,177
92,5,233
38,5,236
71,4,218
130,3,228
42,4,162
86,3,122
172,5,172
13,3,234
90,5,120
246,5,150
56,3,3
189,4,76
180,2,234
30,1,255
171,4,168
48,4,176
166,3,131
147,6,35
113,4,28
86,3,196
83,4,71
211,3,47
83,4,213
189,4,208
88,2,125
228,3,163
200,5,202
153,3,32
145,2,7
204,5,67
120,3,222
146,5,146
47,3,112
97,3,0
137,3,237
186,4,62
142,6,151
7,4,46
86,3,126
122,4,12
88,2,111
66,6,192
184,5,73
197,5,218
82,5,48
155,3,81
2,4,233
35,2,184
80,2,140
70,4,49
151,5,98
221,4,38
179,3,158
237,4,131
209,4,33
3,6,240
187,3,215
171,4,74
55,6,167
112,3,246
122,4,196
50,6,0
105,6,102
161,4,224
122,4,187
247,4,239
43,6,221
146,5,225
16,4,49
125,1,182
143,3,47
95,3,115
231,3,24
55,6,189
142,6,25
167,6,112
77,6,162
57,3,51
249,2,4
88,2,7
201,4,118
152,5,193
61,5,198
38,5,64
174,4,137
198,5,171
110,5,249
124,7,244
196,4,28
206,4,61
162,5,202
61,5,166
24,5,70
86,3,90
207,3,231
40,5,247
144,4,71
38,5,44
202,3,215
102,4,48
80,2,27
143,3,216
121,6,200
15,5,247
113,4,132
46,2,97
13,3,104
41,4,223
61,5,99
91,3,35
229,3,78
2,4,244
32,4,47
218,6,11
153,3,207
23,4,17
163,4,37
198,5,129
55,6,60
100,5,115
247,4,225
201,4,1
60,5,13
18,5,91
63,3,186
153,3,190
194,2,208
169,5,248
1,4,129
242,5,135
211,3,37
129,2,56
244,2,207
109,5,161
196,4,209
47,3,144
53,4,133
163,4,114
53,4,140
138,5,127
9,4,82
222,6,85
59,4,209
190,5,38
244,2,1
71,4,52
44,4,54
152,5,129
192,3,72
113,4,83
248,7,88
225,2,161
237,4,54
119,3,103
50,6,163
142,6,153
234,3,87
170,5,172
192,3,244
66,6,52
117,4,198
121,6,112
183,3,1
181,4,199
207,3,237
200,5,1
156,5,223
155,3,46
22,5,31
113,4,168
121,6,119
90,5,79
172,5,140
161,4,174
85,3,14
101,1,236
41,4,69
126,6,239
160,4,0
14,4,117
230,3,242
29,5,192
40,5,71
55,6,172
126,6,1
82,5,234
102,4,0
0,4,124
250,4,216
90,5,121
43,6,126
212,4,230
61,5,102
117,4,75
177,2,128
251,5,131
205,5,78
64,5,105
101,1,89
34,4,200
210,4,239
167,6,99
116,7,54
98,5,54
3,6,175
82,5,5
93,5,111
49,7,135
54,7,51
141,4,8
207,3,89
7,4,50
152,5,141
72,6,40
110,5,118
94,5,199
198,5,206
226,5,66
197,5,38
69,0,13
196,4,4
17,6,98
98,5,149
237,4,253
165,5,58
100,5,117
140,2,133
80,2,115
221,4,100
93,5,64
239,2,163
110,5,81
214,4,169
132,5,134
20,6,204
3,6,5
19,5,211
52,3,59
232,3,158
189,4,127
107,1,188
124,7,131
151,5,39
62,4,217
57,3,212
5,4,63
69,0,244
6,2,164
52,3,94
71,4,57
15,5,50
212,4,86
8,2,95
78,5,140
132,5,131
233,6,61
195,2,183
204,5,254
252,5,36
144,4,131
145,2,122
69,0,121
156,5,242
41,4,77
55,6,103
156,5,250
38,5,160
147,6,127
154,5,206
3,6,144
227,7,42
218,6,228
153,3,79
126,6,62
12,6,115
17,6,172
165,5,89
91,3,213
254,4,153
199,3,172
52,3,115
183,3,59
35,2,76
33,2,31
117,4,215
227,7,18
29,5,173
196,4,78
177,2,19
59,4,67
55,6,128
47,3,138
71,4,103
120,3,51
253,4,244
149,3,81
169,5,147
219,4,80
159,3,38
208,4,107
138,5,113
194,2,119
250,4,86
30,1,39
209,4,56
47,3,12
176,4,23
32,4,253
170,5,244
189,4,127
215,5,190
14,4,120
35,2,74
73,3,67
133,5,179
194,2,106
148,5,113
198,5,206
122,4,183
46,2,190
70,4,137
208,4,188
11,4,107
64,5,119
20,6,184
122,4,229
64,5,121
227,7,247
242,5,168
199,3,165
86,3,75
178,2,153
95,3,159
209,4,143
82,5,73
176,4,121
128,2,98
238,4,64
130,3,169
168,1,130
94,5,110
111,5,144
140,2,65
47,3,212
157,6,134
42,4,244
49,7,68
89,5,252
138,5,29
122,4,179
188,3,205
10,3,157
58,4,175
102,4,138
179,3,194
229,3,243
50,6,138
225,2,151
80,2,80
127,3,87
209,4,206
30,1,129
217,4,186
139,6,18
66,6,90
39,1,143
32,4,153
252,5,91
80,2,82
157,6,161
54,7,204
178,2,133
190,5,143
120,3,203
78,5,177
17,6,168
155,3,214
90,5,37
199,3,133
34,4,166
53,4,25
255,5,90
6,2,48
80,2,65
155,3,75
206,4,240
3,6,71
17,6,125
109,5,32
10,3,212
238,4,63
55,6,147
92,5,167
68,6,93
135,2,9
114,4,136
214,4,85
133,5,73
37,3,110
22,5,60
193,6,45
159,3,226
94,5,75
55,6,210
211,3,115
202,3,170
97,3,75
70,4,46
34,4,121
31,2,125
27,7,94
221,4,248
245,3,200
131,2,99
226,5,153
122,4,236
168,1,227
61,5,96
125,1,107
82,5,38
66,6,245
6,2,119
41,4,41
32,4,67
191,3,131
159,3,15
234,3,146
252,5,236
151,5,192
110,5,48
185,4,202
69,0,225
178,2,15
158,5,208
242,5,30
138,5,164
231,3,22
197,5,119
140,2,65
143,3,8
218,6,178
107,1,142
50,6,6
248,7,83
104,4,193
238,4,60
72,6,21
